IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
1755,19,12,1,309555.0,9762545.0,1175.0,0.875,87.61121,88.3624,90.880135,-0.2238137,0.7846812
1756,20,12,1,309565.0,9762545.0,1175.0,0.375,87.79877,88.87929,90.880135,-0.22428925,0.78337204
1778,14,13,1,309505.0,9762555.0,1175.0,0.125,84.77874,84.067154,64.3782,-0.14638822,0.6570926
1779,15,13,1,309515.0,9762555.0,1175.0,0.375,85.44215,84.9966,64.3782,-0.15596876,0.6924684
1780,16,13,1,309525.0,9762555.0,1175.0,0.5,85.88719,85.93931,64.3782,-0.16550894,0.7162483
1781,17,13,1,309535.0,9762555.0,1175.0,0.625,87.184395,87.22605,64.3782,-0.208254,0.75573593
1782,18,13,1,309545.0,9762555.0,1175.0,0.875,87.53325,88.04666,90.880135,-0.2097293,0.75814027
1783,19,13,1,309555.0,9762555.0,1175.0,1.0,87.74568,88.72472,90.880135,-0.21108349,0.75661504
1784,20,13,1,309565.0,9762555.0,1175.0,0.75,87.97123,89.265465,90.880135,-0.2097357,0.7493221
1785,21,13,1,309575.0,9762555.0,1175.0,0.25,88.14026,89.6607,90.880135,-0.2088034,0.7425187
1807,15,14,1,309515.0,9762565.0,1175.0,0.125,85.50814,85.209915,64.3782,-0.15033545,0.6823852
1808,16,14,1,309525.0,9762565.0,1175.0,0.375,86.05906,86.166695,64.3782,-0.15579905,0.7012381
1809,17,14,1,309535.0,9762565.0,1175.0,0.5,87.29314,87.56539,90.880135,-0.19854932,0.73649955
1810,18,14,1,309545.0,9762565.0,1175.0,0.625,87.6783,88.41922,90.880135,-0.19772024,0.73246145
1811,19,14,1,309555.0,9762565.0,1175.0,0.875,87.98328,89.15765,90.880135,-0.19753185,0.7238904
1812,20,14,1,309565.0,9762565.0,1175.0,1.0,88.202065,89.6773,90.880135,-0.19212079,0.70530146
1813,21,14,1,309575.0,9762565.0,1175.0,0.625,88.41495,90.07267,90.880135,-0.18838395,0.68797773
1814,22,14,1,309585.0,9762565.0,1175.0,0.125,88.545746,90.31272,90.880135,-0.18773177,0.6794165
1836,16,15,1,309525.0,9762575.0,1175.0,0.25,86.22871,86.52801,64.3782,-0.1503171,0.6914251
1837,17,15,1,309535.0,9762575.0,1175.0,0.5,87.37066,87.89106,90.880135,-0.19073062,0.7194097
1838,18,15,1,309545.0,9762575.0,1175.0,0.5,87.66461,88.638916,90.880135,-0.18960005,0.71016693
1839,19,15,1,309555.0,9762575.0,1175.0,0.625,88.214005,89.554436,90.880135,-0.18150303,0.6847364
1840,20,15,1,309565.0,9762575.0,1175.0,0.875,88.554276,90.125145,90.880135,-0.1725391,0.6505061
1841,21,15,1,309575.0,9762575.0,1175.0,0.875,88.771965,90.474464,90.880135,-0.16290145,0.61276853
1842,22,15,1,309585.0,9762575.0,1175.0,0.375,88.94834,90.69329,90.880135,-0.1591247,0.589935
1864,16,16,1,309525.0,9762585.0,1175.0,0.125,86.44561,86.93405,64.3782,-0.14611459,0.68413997
1865,17,16,1,309535.0,9762585.0,1175.0,0.25,82.80707,87.02395,91.051735,-0.15372156,0.68360245
1866,18,16,1,309545.0,9762585.0,1175.0,0.375,87.866905,88.9796,90.880135,-0.17803515,0.6836006
1867,19,16,1,309555.0,9762585.0,1175.0,0.5,88.259224,89.65154,90.880135,-0.16667704,0.64464056
1868,20,16,1,309565.0,9762585.0,1175.0,0.75,88.885376,90.475464,90.880135,-0.15011567,0.5849643
1869,21,16,1,309575.0,9762585.0,1175.0,1.0,89.28502,90.87357,90.880135,-0.13362536,0.5131546
1870,22,16,1,309585.0,9762585.0,1175.0,0.75,88.853134,91.005196,90.880135,-0.12576456,0.4592812
1871,23,16,1,309595.0,9762585.0,1175.0,0.25,90.80864,91.24428,90.880135,-0.19510533,0.50202507
1894,18,17,1,309545.0,9762595.0,1175.0,0.125,86.534904,88.299484,91.051735,-0.13455935,0.64084107
1895,19,17,1,309555.0,9762595.0,1175.0,0.25,84.53865,89.08163,90.880135,-0.12888975,0.59573126
1896,20,17,1,309565.0,9762595.0,1175.0,0.5,89.18668,90.71116,90.880135,-0.13026817,0.5238267
1897,21,17,1,309575.0,9762595.0,1175.0,0.875,89.74355,91.11172,90.880135,-0.102426976,0.398402
1898,22,17,1,309585.0,9762595.0,1175.0,1.0,91.08615,91.358215,90.880135,-0.12055576,0.28173828
1899,23,17,1,309595.0,9762595.0,1175.0,0.5,90.96885,91.31646,90.880135,-0.1315596,0.30990377
1924,20,18,1,309565.0,9762605.0,1175.0,0.125,87.54549,90.05812,91.1952,-0.09880683,0.4859922
1925,21,18,1,309575.0,9762605.0,1175.0,0.5,89.97925,91.18195,90.880135,-0.086567976,0.34049326
1926,22,18,1,309585.0,9762605.0,1175.0,0.875,91.18483,91.30175,90.880135,-0.07283249,0.13168603
1927,23,18,1,309595.0,9762605.0,1175.0,0.5,91.17528,91.3954,90.880135,-0.09580314,0.19279483
1953,21,19,1,309575.0,9762615.0,1175.0,0.125,87.10164,90.48858,91.1952,-0.08572778,0.398304
1954,22,19,1,309585.0,9762615.0,1175.0,0.5,91.02983,91.323814,91.1952,-0.12016604,0.3045961
1955,23,19,1,309595.0,9762615.0,1175.0,0.375,91.034294,91.33996,91.1952,-0.13587087,0.33695728
1982,22,20,1,309585.0,9762625.0,1175.0,0.25,89.02386,90.53715,91.1952,-0.097925395,0.4576504
1983,23,20,1,309595.0,9762625.0,1175.0,0.25,91.00299,91.23169,91.1952,-0.12520191,0.48234558
2010,22,21,1,309585.0,9762635.0,1175.0,0.125,89.03393,90.060974,91.1952,-0.1202622,0.56565034
2011,23,21,1,309595.0,9762635.0,1175.0,0.125,86.527565,90.094826,91.1952,-0.13308214,0.58231014
2811,11,0,2,309475.0,9762425.0,1185.0,0.25,82.08797,82.85505,64.92733,-0.12733403,0.44803768
2812,12,0,2,309485.0,9762425.0,1185.0,0.25,81.3764,82.61617,64.92733,-0.17027164,0.41383165
2836,8,1,2,309445.0,9762435.0,1185.0,0.125,85.2685,85.496544,62.877865,-0.1600227,0.5925931
2837,9,1,2,309455.0,9762435.0,1185.0,0.375,86.42948,87.738914,92.527,-0.14150941,0.5429722
2838,10,1,2,309465.0,9762435.0,1185.0,0.5,87.91044,90.24269,92.527,-0.11916382,0.45895305
