IJK,IX,IY,IZ,XC,YC,ZC,__in
4407,11,7,3,309475.0,9762495.0,1195.0,1.0
4408,12,7,3,309485.0,9762495.0,1195.0,1.0
4409,13,7,3,309495.0,9762495.0,1195.0,1.0
4410,14,7,3,309505.0,9762495.0,1195.0,1.0
4411,15,7,3,309515.0,9762495.0,1195.0,1.0
4412,16,7,3,309525.0,9762495.0,1195.0,0.625
4413,17,7,3,309535.0,9762495.0,1195.0,0.125
4432,8,8,3,309445.0,9762505.0,1195.0,0.25
4433,9,8,3,309455.0,9762505.0,1195.0,0.5
4434,10,8,3,309465.0,9762505.0,1195.0,0.75
4435,11,8,3,309475.0,9762505.0,1195.0,1.0
4436,12,8,3,309485.0,9762505.0,1195.0,1.0
4437,13,8,3,309495.0,9762505.0,1195.0,1.0
4438,14,8,3,309505.0,9762505.0,1195.0,1.0
4439,15,8,3,309515.0,9762505.0,1195.0,1.0
4440,16,8,3,309525.0,9762505.0,1195.0,0.875
4441,17,8,3,309535.0,9762505.0,1195.0,0.375
4460,8,9,3,309445.0,9762515.0,1195.0,0.125
4461,9,9,3,309455.0,9762515.0,1195.0,0.375
4462,10,9,3,309465.0,9762515.0,1195.0,0.75
4463,11,9,3,309475.0,9762515.0,1195.0,1.0
4464,12,9,3,309485.0,9762515.0,1195.0,1.0
4465,13,9,3,309495.0,9762515.0,1195.0,1.0
4466,14,9,3,309505.0,9762515.0,1195.0,1.0
4467,15,9,3,309515.0,9762515.0,1195.0,1.0
4468,16,9,3,309525.0,9762515.0,1195.0,1.0
4469,17,9,3,309535.0,9762515.0,1195.0,0.75
4470,18,9,3,309545.0,9762515.0,1195.0,0.25
4489,9,10,3,309455.0,9762525.0,1195.0,0.25
4490,10,10,3,309465.0,9762525.0,1195.0,0.75
4491,11,10,3,309475.0,9762525.0,1195.0,1.0
4492,12,10,3,309485.0,9762525.0,1195.0,1.0
4493,13,10,3,309495.0,9762525.0,1195.0,1.0
4494,14,10,3,309505.0,9762525.0,1195.0,1.0
