IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
1752,16,12,1,309525.0,9762545.0,1175.0,0.5,89.22877,87.038704,64.3782,-91.62385,247.4439
1753,17,12,1,309535.0,9762545.0,1175.0,0.75,89.228775,87.782974,64.3782,-91.623856,247.4439
1754,18,12,1,309545.0,9762545.0,1175.0,1.0,89.228775,88.40911,90.880135,-91.623856,247.4439
1755,19,12,1,309555.0,9762545.0,1175.0,0.875,87.49741,88.3624,90.880135,-138.79758,294.6176
1756,20,12,1,309565.0,9762545.0,1175.0,0.375,87.49741,88.87929,90.880135,-138.79758,294.6176
1778,14,13,1,309505.0,9762555.0,1175.0,0.125,86.583916,84.067154,64.3782,-100.07726,255.8957
1779,15,13,1,309515.0,9762555.0,1175.0,0.375,86.584145,84.9966,64.3782,-100.07874,255.89864
1780,16,13,1,309525.0,9762555.0,1175.0,0.5,86.652534,85.93931,64.3782,-106.04795,261.86798
1781,17,13,1,309535.0,9762555.0,1175.0,0.625,87.72981,87.22605,64.3782,-131.96039,287.78043
1782,18,13,1,309545.0,9762555.0,1175.0,0.875,87.729805,88.04666,90.880135,-131.96037,287.78043
1783,19,13,1,309555.0,9762555.0,1175.0,1.0,87.49742,88.72472,90.880135,-138.79756,294.6176
1784,20,13,1,309565.0,9762555.0,1175.0,0.75,87.49742,89.265465,90.880135,-138.79753,294.61752
1785,21,13,1,309575.0,9762555.0,1175.0,0.25,87.49742,89.6607,90.880135,-138.79744,294.61734
1807,15,14,1,309515.0,9762565.0,1175.0,0.125,86.584145,85.209915,64.3782,-100.078735,255.89864
1808,16,14,1,309525.0,9762565.0,1175.0,0.375,86.58416,86.166695,64.3782,-100.078865,255.89891
1809,17,14,1,309535.0,9762565.0,1175.0,0.5,87.729805,87.56539,90.880135,-131.96037,287.78043
1810,18,14,1,309545.0,9762565.0,1175.0,0.625,87.72981,88.41922,90.880135,-131.96036,287.7804
1811,19,14,1,309555.0,9762565.0,1175.0,0.875,87.588005,89.15765,90.880135,-138.41507,294.235
1812,20,14,1,309565.0,9762565.0,1175.0,1.0,87.49744,89.6773,90.880135,-138.79695,294.61636
1813,21,14,1,309575.0,9762565.0,1175.0,0.625,87.49748,90.07267,90.880135,-138.79544,294.6133
1814,22,14,1,309585.0,9762565.0,1175.0,0.125,87.49753,90.31272,90.880135,-138.79358,294.60962
1836,16,15,1,309525.0,9762575.0,1175.0,0.25,86.58416,86.52801,64.3782,-100.078865,255.89891
1837,17,15,1,309535.0,9762575.0,1175.0,0.5,87.667885,87.89106,90.880135,-131.97037,287.7904
1838,18,15,1,309545.0,9762575.0,1175.0,0.5,87.43855,88.638916,90.880135,-138.41545,294.2354
1839,19,15,1,309555.0,9762575.0,1175.0,0.625,87.58803,89.554436,90.880135,-138.4143,294.23346
1840,20,15,1,309565.0,9762575.0,1175.0,0.875,87.58818,90.125145,90.880135,-138.40883,294.22253
1841,21,15,1,309575.0,9762575.0,1175.0,0.875,87.49821,90.474464,90.880135,-138.76851,294.55948
1842,22,15,1,309585.0,9762575.0,1175.0,0.375,87.49919,90.69329,90.880135,-138.73204,294.48645
1864,16,16,1,309525.0,9762585.0,1175.0,0.125,86.58416,86.93405,64.3782,-100.07887,255.89891
1865,17,16,1,309535.0,9762585.0,1175.0,0.25,82.34116,87.02395,91.051735,-112.742516,268.56253
1866,18,16,1,309545.0,9762585.0,1175.0,0.375,87.43855,88.9796,90.880135,-138.41516,294.23483
1867,19,16,1,309555.0,9762585.0,1175.0,0.5,87.43866,89.65154,90.880135,-138.41086,294.2262
1868,20,16,1,309565.0,9762585.0,1175.0,0.75,87.58932,90.475464,90.880135,-138.36751,294.13983
1869,21,16,1,309575.0,9762585.0,1175.0,1.0,87.59711,90.87357,90.880135,-138.08626,293.57578
1870,22,16,1,309585.0,9762585.0,1175.0,0.75,86.91573,91.005196,90.880135,-148.99727,303.69974
1871,23,16,1,309595.0,9762585.0,1175.0,0.25,90.37618,91.24428,90.880135,-206.56758,361.0458
1894,18,17,1,309545.0,9762595.0,1175.0,0.125,84.53724,88.299484,91.051735,-103.73532,259.5547
1895,19,17,1,309555.0,9762595.0,1175.0,0.25,81.92687,89.08163,90.880135,-117.40106,273.20898
1896,20,17,1,309565.0,9762595.0,1175.0,0.5,87.593506,90.71116,90.880135,-138.21538,293.835
1897,21,17,1,309575.0,9762595.0,1175.0,0.875,87.65332,91.11172,90.880135,-136.04013,289.402
1898,22,17,1,309585.0,9762595.0,1175.0,1.0,90.58315,91.358215,90.880135,-187.03716,320.7259
1899,23,17,1,309595.0,9762595.0,1175.0,0.5,90.43972,91.31646,90.880135,-192.31194,331.31348
1924,20,18,1,309565.0,9762605.0,1175.0,0.125,84.18405,90.05812,91.1952,-109.60827,265.15753
1925,21,18,1,309575.0,9762605.0,1175.0,0.5,87.72745,91.18195,90.880135,-133.32718,283.68018
1926,22,18,1,309585.0,9762605.0,1175.0,0.875,90.825806,91.30175,90.880135,-130.54684,181.08653
1927,23,18,1,309595.0,9762605.0,1175.0,0.5,90.717224,91.3954,90.880135,-159.94223,257.4749
1953,21,19,1,309575.0,9762615.0,1175.0,0.125,82.40151,90.48858,91.1952,-115.42929,269.48297
1954,22,19,1,309585.0,9762615.0,1175.0,0.5,90.55933,91.323814,91.1952,-192.32034,332.32617
1955,23,19,1,309595.0,9762615.0,1175.0,0.375,90.54523,91.33996,91.1952,-196.05656,340.30368
1982,22,20,1,309585.0,9762625.0,1175.0,0.25,86.65194,90.53715,91.1952,-109.310265,264.56216
1983,23,20,1,309595.0,9762625.0,1175.0,0.25,90.69255,91.23169,91.1952,-137.8153,293.0415
2010,22,21,1,309585.0,9762635.0,1175.0,0.125,86.863075,90.060974,91.1952,-103.69602,259.4823
2011,23,21,1,309595.0,9762635.0,1175.0,0.125,84.55889,90.094826,91.1952,-117.37247,273.15976
2811,11,0,2,309475.0,9762425.0,1185.0,0.25,82.15747,82.85505,64.92733,-137.63162,292.2888
2812,12,0,2,309485.0,9762425.0,1185.0,0.25,80.25534,82.61617,64.92733,-203.4232,354.6925
2836,8,1,2,309445.0,9762435.0,1185.0,0.125,85.74941,85.496544,62.877865,-138.76852,294.58136
2837,9,1,2,309455.0,9762435.0,1185.0,0.375,85.84972,87.738914,92.527,-138.73767,294.51962
2838,10,1,2,309465.0,9762435.0,1185.0,0.5,85.87552,90.24269,92.527,-138.23375,293.50757
2839,11,1,2,309475.0,9762435.0,1185.0,0.75,82.23602,83.507126,92.527,-131.7427,279.8142
2840,12,1,2,309485.0,9762435.0,1185.0,0.75,81.16913,83.43175,92.32667,-121.68867,218.74019
2841,13,1,2,309495.0,9762435.0,1185.0,0.25,80.28747,82.65778,64.92733,-189.60962,325.5302
2864,8,2,2,309445.0,9762445.0,1185.0,0.25,84.74111,83.89017,62.877865,-104.123665,259.90735
2865,9,2,2,309455.0,9762445.0,1185.0,0.625,84.746864,86.373085,93.7998,-104.11688,259.89383
2866,10,2,2,309465.0,9762445.0,1185.0,0.875,84.8576,89.564766,93.7998,-103.674225,259.00183
2867,11,2,2,309475.0,9762445.0,1185.0,1.0,85.33892,91.92192,92.527,-97.47871,245.33864
2868,12,2,2,309485.0,9762445.0,1185.0,1.0,87.490105,92.58878,92.32667,-69.19221,153.6822
2869,13,2,2,309495.0,9762445.0,1185.0,0.625,81.05464,83.74205,92.32667,-124.67351,263.45493
2870,14,2,2,309505.0,9762445.0,1185.0,0.125,80.28055,82.995514,92.32667,-206.23563,360.40146
2892,8,3,2,309445.0,9762455.0,1185.0,0.125,84.71005,81.973335,62.877865,-103.957016,259.572
2893,9,3,2,309455.0,9762455.0,1185.0,0.375,84.73796,84.60168,62.877865,-104.08832,259.83655
2894,10,3,2,309465.0,9762455.0,1185.0,0.75,84.758514,87.96504,93.7998,-103.97796,259.61514
2895,11,3,2,309475.0,9762455.0,1185.0,1.0,84.92846,90.674164,93.7998,-102.78086,257.16702
2896,12,3,2,309485.0,9762455.0,1185.0,1.0,85.1079,91.7567,93.7998,-100.48176,252.23618
2897,13,3,2,309495.0,9762455.0,1185.0,0.875,84.43556,91.70423,92.32667,-115.66563,269.3836
2898,14,3,2,309505.0,9762455.0,1185.0,0.375,84.45448,91.188675,92.32667,-138.4505,293.93246
2921,9,4,2,309455.0,9762465.0,1185.0,0.25,84.72585,83.04108,62.877865,-104.03976,259.73892
2922,10,4,2,309465.0,9762465.0,1185.0,0.625,84.74622,86.09483,93.7998,-104.11758,259.8952
2923,11,4,2,309475.0,9762465.0,1185.0,0.875,84.7559,88.57576,93.7998,-104.033264,259.72614
2924,12,4,2,309485.0,9762465.0,1185.0,1.0,84.8391,89.96308,93.7998,-103.91883,259.49603
2925,13,4,2,309495.0,9762465.0,1185.0,1.0,84.83193,90.26109,93.7998,-104.00923,259.6779
2926,14,4,2,309505.0,9762465.0,1185.0,0.75,84.43703,90.18424,92.32667,-138.73822,294.5095
2927,15,4,2,309515.0,9762465.0,1185.0,0.25,84.43443,89.73173,92.32667,-138.78038,294.59384
2949,9,5,2,309455.0,9762475.0,1185.0,0.25,85.04896,82.53119,62.877865,-100.38297,256.12012
2950,10,5,2,309465.0,9762475.0,1185.0,0.5,84.74482,84.824265,62.877865,-104.1458,259.95163
2951,11,5,2,309475.0,9762475.0,1185.0,0.75,84.746925,86.810326,93.7998,-104.14963,259.9593
2952,12,5,2,309485.0,9762475.0,1185.0,1.0,85.02176,88.03786,93.7998,-100.4459,256.24982
2953,13,5,2,309495.0,9762475.0,1185.0,1.0,84.82093,88.695786,93.7998,-104.14953,259.95914
